Month,DayofMonth,DayOfWeek,FlightDate,AirlineID,Carrier,FlightNum,Origin,Dest,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,Cancelled,Diverted,ActualElapsedTime,AirTime,Distance,departure,arrival,origin_airport_code,departureDelay,lon_origin,lat_origin,dest_airport_code,arrivalDelay,lon_dest,lat_dest,Year,id
4,25,5,2008-04-25,19790,DL,1423,ATL,LAX,2130,2130,0.00,0.00,0,21.00,2151,2321,13.00,2326,2334,8.00,8.00,0,0,0,304.00,270.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-124665675
4,15,2,2008-04-15,19790,DL,1423,ATL,LAX,2130,2130,0.00,0.00,0,24.00,2154,2313,17.00,2326,2330,4.00,4.00,0,0,0,300.00,259.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,697317507
5,12,1,2008-05-12,19805,AA,203,MIA,LAX,1535,1601,26.00,26.00,1,12.00,1613,1826,10.00,1803,1836,33.00,33.00,1,0,0,335.00,313.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,652907791
4,12,6,2008-04-12,20437,FL,40,ATL,LAX,1820,1829,9.00,9.00,0,14.00,1843,2007,27.00,2020,2034,14.00,14.00,0,0,0,305.00,264.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,650244954
5,8,4,2008-05-08,19805,AA,203,MIA,LAX,1535,1542,7.00,7.00,0,13.00,1555,1812,11.00,1803,1823,20.00,20.00,1,0,0,341.00,317.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,-1044561990
4,9,3,2008-04-09,19790,DL,75,ATL,LAX,1705,1714,9.00,9.00,0,14.00,1728,1919,5.00,1857,1924,27.00,27.00,1,0,0,310.00,291.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,276183212
5,24,6,2008-05-24,19805,AA,267,MIA,LAX,1610,1623,13.00,13.00,0,21.00,1644,1842,4.00,1845,1846,1.00,1.00,0,0,0,323.00,298.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,1812700291
4,10,4,2008-04-10,20437,FL,55,ATL,LAX,925,922,-3.00,0.00,0,13.00,935,1134,7.00,1125,1141,16.00,16.00,1,0,0,319.00,299.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,1455456715
4,20,7,2008-04-20,19790,DL,125,ATL,LAX,1605,1614,9.00,9.00,0,18.00,1632,1750,4.00,1746,1754,8.00,8.00,0,0,0,280.00,258.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1197766752
5,14,3,2008-05-14,19805,AA,203,MIA,LAX,1535,1539,4.00,4.00,0,16.00,1555,1800,6.00,1803,1806,3.00,3.00,0,0,0,327.00,305.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,1952283358
4,29,2,2008-04-29,19790,DL,885,ATL,LAX,1440,1446,6.00,6.00,0,14.00,1500,1616,4.00,1625,1620,-5.00,0.00,0,0,0,274.00,256.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,940057691
4,20,7,2008-04-20,19790,DL,110,ATL,LAX,834,912,38.00,38.00,1,32.00,944,1102,9.00,1019,1111,52.00,52.00,1,0,0,299.00,258.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,1628735831
4,20,7,2008-04-20,20437,FL,55,ATL,LAX,925,929,4.00,4.00,0,20.00,949,1133,8.00,1125,1141,16.00,16.00,1,0,0,312.00,284.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1961349442
4,23,3,2008-04-23,19790,DL,937,ATL,LAX,1110,1116,6.00,6.00,0,21.00,1137,1315,6.00,1255,1321,26.00,26.00,1,0,0,305.00,278.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-633266552
4,25,5,2008-04-25,19790,DL,937,ATL,LAX,1110,1106,-4.00,0.00,0,27.00,1133,1252,8.00,1255,1300,5.00,5.00,0,0,0,294.00,259.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1045740875
5,23,5,2008-05-23,19805,AA,203,MIA,LAX,1535,1532,-3.00,0.00,0,15.00,1547,1819,7.00,1803,1826,23.00,23.00,1,0,0,354.00,332.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,1108085398
4,11,5,2008-04-11,20437,FL,50,ATL,LAX,2020,2030,10.00,10.00,0,32.00,2102,2246,8.00,2220,2254,34.00,34.00,1,0,0,324.00,284.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-402094331
4,7,1,2008-04-07,20437,FL,41,ATL,LAX,2125,2134,9.00,9.00,0,15.00,2149,2344,8.00,2330,2352,22.00,22.00,1,0,0,318.00,295.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,38373468
9,15,1,2008-09-15,19386,NW,187,JFK,MSP,800,759,-1.00,0.00,0,31.00,830,1004,8.00,1017,1012,-5.00,0.00,0,0,0,193.00,154.00,1028.00,1,1,JFK,11.421935,-73.78,40.64,MSP,4.555891,-93.22,44.89,2008,39076348
4,30,3,2008-04-30,20437,FL,41,ATL,LAX,2130,2140,10.00,10.00,0,26.00,2206,2333,7.00,2330,2340,10.00,10.00,0,0,0,300.00,267.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1023090338
4,9,3,2008-04-09,20437,FL,40,ATL,LAX,1759,1755,-4.00,0.00,0,11.00,1806,2005,8.00,1959,2013,14.00,14.00,0,0,0,318.00,299.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-165322130
4,24,4,2008-04-24,19790,DL,1423,ATL,LAX,2130,2147,17.00,17.00,1,26.00,2213,2338,15.00,2326,2353,27.00,27.00,1,0,0,306.00,265.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-640431879
4,17,4,2008-04-17,20437,FL,54,ATL,LAX,1035,1030,-5.00,0.00,0,19.00,1049,1211,7.00,1235,1218,-17.00,0.00,0,0,0,288.00,262.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,1785468786
5,19,1,2008-05-19,19805,AA,267,MIA,LAX,1610,1616,6.00,6.00,0,27.00,1643,1847,4.00,1845,1851,6.00,6.00,0,0,0,335.00,304.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,-575174469
4,15,2,2008-04-15,19790,DL,75,ATL,LAX,1735,1738,3.00,3.00,0,12.00,1750,1859,10.00,1923,1909,-14.00,0.00,0,0,0,271.00,249.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1956558703
